huspacy == emagyar,huspacy,emagyar
True,"|,|","|,|"
True,|ha|,|ha|
True,|személyeskedni|,|személyeskedni|
True,|akart|,|akart|
True,|volna|,|volna|
True,"|,|","|,|"
True,|vajon|,|vajon|
True,|hányszor|,|hányszor|
True,|mondta|,|mondta|
True,|volna|,|volna|
True,|el|,|el|
True,|tíz|,|tíz|
True,|másodperc|,|másodperc|
True,|alatt|,|alatt|
True,|Fürjes|,|Fürjes|
True,|Balázs|,|Balázs|
True,|nevét|,|nevét|
True,"|,|","|,|"
True,|tisztelt|,|tisztelt|
True,|képviselő|,|képviselő|
True,|úr|,|úr|
True,|?|,|?|
True,|(|,|(|
True,|Szabó|,|Szabó|
True,|Szabolcs|,|Szabolcs|
False,|közbeszól|,|közbeszól.|
huspacy,|.|,
True,|)|,|)|
True,|(|,|(|
True,|13.50|,|13.50|
True,|)|,|)|
True,|Nyilván|,|Nyilván|
True,|önnek|,|önnek|
True,|fáj|,|fáj|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|sok|,|sok|
True,|minden|,|minden|
True,"|,|","|,|"
True,|amit|,|amit|
True,|valótlanul|,|valótlanul|
True,|állított|,|állított|
True,|a|,|a|
True,|kampányban|,|kampányban|
True,"|,|","|,|"
True,|amit|,|amit|
True,|fellengzősen|,|fellengzősen|
True,"|,|","|,|"
True,|nagyképűen|,|nagyképűen|
True,|ebben|,|ebben|
True,|persze|,|persze|
True,|nem|,|nem|
True,|lóg|,|lóg|
True,|ki|,|ki|
True,|a|,|a|
True,|Momentum-frakció|,|Momentum-frakció|
True,|sorából|,|sorából|
True,|mondott|,|mondott|
True,|a|,|a|
True,|kampányban|,|kampányban|
True,"|,|","|,|"
True,|azokkal|,|azokkal|
True,|Fürjes|,|Fürjes|
True,|Balázs|,|Balázs|
True,|akár|,|akár|
True,|önt|,|önt|
True,|is|,|is|
True,|szembesítette|,|szembesítette|
True,|.|,|.|
True,|Nem|,|Nem|
True,|meghunyászkodott|,|meghunyászkodott|
True,"|,|","|,|"
True,|hanem|,|hanem|
True,|akár|,|akár|
True,|ezekbe|,|ezekbe|
True,|a|,|a|
True,|csatákba|,|csatákba|
True,|beleállt|,|beleállt|
True,"|,|","|,|"
True,|és|,|és|
True,|bizony|,|bizony|
True,|sok|,|sok|
True,|esetben|,|esetben|
True,|akár|,|akár|
True,|önt|,|önt|
True,|meg|,|meg|
True,|is|,|is|
True,|cáfolta|,|cáfolta|
True,"|,|","|,|"
True,|és|,|és|
True,|ezekben|,|ezekben|
True,|a|,|a|
True,|nézeteltérésekben|,|nézeteltérésekben|
True,|az|,|az|
True,|emberek|,|emberek|
True,|egy|,|egy|
True,|jó|,|jó|
True,|része|,|része|
True,|neki|,|neki|
True,|adott|,|adott|
True,|igazat|,|igazat|
True,"|,|","|,|"
True,|és|,|és|
True,|ezért|,|ezért|
True,|próbál|,|próbál|
True,|ön|,|ön|
True,|itt|,|itt|
True,|valamit|,|valamit|
True,|tenni|,|tenni|
True,|.|,|.|
True,|Tisztelt|,|Tisztelt|
True,|képviselő|,|képviselő|
True,|úr|,|úr|
True,"|,|","|,|"
True,|lelke|,|lelke|
True,|rajta|,|rajta|
True,"|,|","|,|"
True,|meglátjuk|,|meglátjuk|
True,"|,|","|,|"
True,|mennyire|,|mennyire|
True,|fog|,|fog|
True,|ez|,|ez|
True,|önnek|,|önnek|
True,|sikerülni|,|sikerülni|
True,|.|,|.|
True,|Ugyanakkor|,|Ugyanakkor|
True,|azt|,|azt|
True,|látjuk|,|látjuk|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|amikor|,|amikor|
True,|önök|,|önök|
True,"|,|","|,|"
True,|a|,|a|
True,|Momentum|,|Momentum|
True,|is|,|is|
True,|bekerül|,|bekerül|
True,|egy|,|egy|
True,|döntéshozó|,|döntéshozó|
True,|testületbe|,|testületbe|
True,"|,|","|,|"
True,|mondjuk|,|mondjuk|
True,"|,|","|,|"
True,|a|,|a|
True,|Fővárosi|,|Fővárosi|
True,|Közgyűlésbe|,|Közgyűlésbe|
True,"|,|","|,|"
True,|akkor|,|akkor|
True,|a|,|a|
True,|budapesti|,|budapesti|
True,|tömegközlekedés|,|tömegközlekedés|
True,|helyzete|,|helyzete|
True,|nem|,|nem|
True,|annyira|,|annyira|
True,|fontos|,|fontos|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|elmenjenek|,|elmenjenek|
True,|a|,|a|
True,|közgyűlésbe|,|közgyűlésbe|
True,"|,|","|,|"
True,|hanem|,|hanem|
True,|összevesznek|,|összevesznek|
True,|a|,|a|
True,|DK-val|,|DK-val|
True,|önkormányzati|,|önkormányzati|
True,|helyeken|,|helyeken|
True,|(|,|(|
True,|Arató|,|Arató|
True,|Gergely|,|Gergely|
False,|közbeszól|,|közbeszól.|
huspacy,|.|,
True,|)|,|)|
True,"|,|","|,|"
True,|nem|,|nem|
True,|mennek|,|mennek|
True,|be|,|be|
True,"|,|","|,|"
True,|nem|,|nem|
True,|szavazzák|,|szavazzák|
True,|meg|,|meg|
True,|a|,|a|
True,|főpolgármester-helyettes|,|főpolgármester-helyettes|
True,|személyét|,|személyét|
True,"|,|","|,|"
True,|nem|,|nem|
True,|mennek|,|mennek|
True,|be|,|be|
True,|semmilyen|,|semmilyen|
True,|napirendről|,|napirendről|
True,|tárgyalni|,|tárgyalni|
True,"|,|","|,|"
True,|nem|,|nem|
True,|fontos|,|fontos|
True,|a|,|a|
True,|költségvetés|,|költségvetés|
True,|.|,|.|
True,|Talán|,|Talán|
True,|ha|,|ha|
True,|egyszer|,|egyszer|
True,|fordult|,|fordult|
True,|ilyen|,|ilyen|
True,|elő|,|elő|
True,|1990|,|1990|
True,|óta|,|óta|
True,"|,|","|,|"
True,|amióta|,|amióta|
True,|demokrácia|,|demokrácia|
True,|van|,|van|
True,|Magyarországon|,|Magyarországon|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|nincs|,|nincs|
True,|Fővárosi|,|Fővárosi|
True,|Közgyűlés|,|Közgyűlés|
True,"|,|","|,|"
True,|mert|,|mert|
True,|összehívja|,|összehívja|
True,|a|,|a|
True,|főpolgármester|,|főpolgármester|
True,"|,|","|,|"
True,|és|,|és|
True,|önök|,|önök|
True,|nem|,|nem|
True,|mennek|,|mennek|
True,|el|,|el|
True,|a|,|a|
True,|közgyűlés|,|közgyűlés|
True,|ülésére|,|ülésére|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|direkt|,|direkt|
True,|határozatképtelenné|,|határozatképtelenné|
True,|tegyék|,|tegyék|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|direkt|,|direkt|
True,|semmilyen|,|semmilyen|
True,|döntést|,|döntést|
True,|ne|,|ne|
True,|tudjon|,|tudjon|
True,|meghozni|,|meghozni|
True,|a|,|a|
True,|közgyűlés|,|közgyűlés|
True,"|,|","|,|"
True,|de|,|de|
True,|önök|,|önök|
True,|mégis|,|mégis|
True,|megtették|,|megtették|
True,|az|,|az|
True,|egyik|,|egyik|
True,|első|,|első|
True,|alkalommal|,|alkalommal|
True,"|,|","|,|"
True,|amint|,|amint|
True,|bekerültek|,|bekerültek|
True,|.|,|.|
True,|Nyilván|,|Nyilván|
True,|azért|,|azért|
True,|kettőn|,|kettőn|
True,|áll|,|áll|
True,|vásár|,|vásár|
True,"|,|","|,|"
True,|tehát|,|tehát|
True,|nem|,|nem|
True,|szeretném|,|szeretném|
True,|a|,|a|
True,|DK-sokat|,|DK-sokat|
True,|felmenteni|,|felmenteni|
True,|ezen|,|ezen|
True,|felelősségük|,|felelősségük|
True,|alól|,|alól|
True,"|,|","|,|"
True,|de|,|de|
True,|önök|,|önök|
True,|mégiscsak|,|mégiscsak|
True,|Budapesten|,|Budapesten|
True,|miközben|,|miközben|
True,|itt|,|itt|
True,|ön|,|ön|
True,|feláll|,|feláll|
True,|a|,|a|
True,|parlamentben|,|parlamentben|
True,"|,|","|,|"
True,|és|,|és|
False,|ezt-azt-amazt|,|ezt|
emagyar,,|-|
emagyar,,|azt|
emagyar,,|-|
emagyar,,|amazt|
True,|követel|,|követel|
True,"|,|","|,|"
True,|amelyek|,|amelyek|
True,|egy|,|egy|
True,|része|,|része|
True,|teljes|,|teljes|
True,|mértékben|,|mértékben|
True,|jogos|,|jogos|
True,"|,|","|,|"
True,|és|,|és|
True,|a|,|a|
True,|kormány|,|kormány|
True,|célkitűzéseivel|,|célkitűzéseivel|
True,|is|,|is|
True,|egyébként|,|egyébként|
True,|egyezik|,|egyezik|
True,"|,|","|,|"
True,|ahol|,|ahol|
True,|lenne|,|lenne|
True,|lehetősége|,|lehetősége|
True,|ez|,|ez|
True,|ügyben|,|ügyben|
True,|tenni|,|tenni|
True,|önnek|,|önnek|
True,|is|,|is|
True,|és|,|és|
True,|a|,|a|
True,|pártjának|,|pártjának|
True,|is|,|is|
True,"|,|","|,|"
True,|ott|,|ott|
True,|pedig|,|pedig|
True,|direkt|,|direkt|
True,|hozzák|,|hozzák|
True,|létre|,|létre|
True,|a|,|a|
True,|bénultságot|,|bénultságot|
True,"|,|","|,|"
True,|direkt|,|direkt|
True,|akadályozzák|,|akadályozzák|
True,|a|,|a|
True,|munkát|,|munkát|
True,|.|,|.|
True,|Talán|,|Talán|
True,|ha|,|ha|
True,|ott|,|ott|
True,|összeült|,|összeült|
True,|volna|,|volna|
True,|a|,|a|
True,|Fővárosi|,|Fővárosi|
True,|Közgyűlés|,|Közgyűlés|
True,"|,|","|,|"
True,|talán|,|talán|
True,|a|,|a|
True,|költségvetésből|,|költségvetésből|
True,|több|,|több|
True,|pénz|,|pénz|
True,|jutott|,|jutott|
True,|volna|,|volna|
True,|tömegközlekedésre|,|tömegközlekedésre|
True,|is|,|is|
True,|meg|,|meg|
True,|egészségügyre|,|egészségügyre|
True,|is|,|is|
True,|.|,|.|
True,|Tudja|,|Tudja|
True,"|,|","|,|"
True,|tisztelt|,|tisztelt|
True,|képviselő|,|képviselő|
True,|úr|,|úr|
True,"|,|","|,|"
True,|önöknek|,|önöknek|
True,|vannak|,|vannak|
True,|az|,|az|
True,|egészségügy|,|egészségügy|
True,|kapcsán|,|kapcsán|
True,|mondjuk|,|mondjuk|
True,|azt|,|azt|
True,|nagyon|,|nagyon|
True,|finoman|,|finoman|
True,|szólva|,|szólva|
True,|tájékozatlanságról|,|tájékozatlanságról|
True,|tanúbizonyságot|,|tanúbizonyságot|
True,|adó|,|adó|
True,|javaslataik|,|javaslataik|
True,|.|,|.|
True,|Ugye|,|Ugye|
True,"|,|","|,|"
True,|Karácsony|,|Karácsony|
True,|Gergely|,|Gergely|
True,|megígérte|,|megígérte|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|majd|,|majd|
True,|minden|,|minden|
True,|kerületben|,|kerületben|
True,|lesz|,|lesz|
True,"|,|","|,|"
True,|összesen|,|összesen|
True,|23|,|23|
True,|CT|,|CT|
True,|Budapesten|,|Budapesten|
True,|abban|,|abban|
True,|a|,|a|
True,|pillanatban|,|pillanatban|
True,"|,|","|,|"
True,|amikor|,|amikor|
True,|24|,|24|
True,|CT|,|CT|
True,|volt|,|volt|
True,|Budapesten|,|Budapesten|
True,"|,|","|,|"
True,|tehát|,|tehát|
True,|ilyen|,|ilyen|
True,|és|,|és|
True,|hasonló|,|hasonló|
True,|egészségügyi|,|egészségügyi|
True,|vállalásokat|,|vállalásokat|
True,|önök|,|önök|
True,|nagyon|,|nagyon|
True,|bátran|,|bátran|
True,|tesznek|,|tesznek|
True,|.|,|.|
True,|De|,|De|
True,|azért|,|azért|
True,|azt|,|azt|
True,|se|,|se|
True,|felejtsük|,|felejtsük|
True,|el|,|el|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|amikor|,|amikor|
True,|az|,|az|
True,|„|,|„|
True,|Egészséges|,|Egészséges|
True,|Budapest|,|Budapest|
True,|”|,|”|
True,|programból|,|programból|
True,|megérkeztek|,|megérkeztek|
True,|a|,|a|
True,|források|,|források|
True,|a|,|a|
True,|központi|,|központi|
True,|költségvetésből|,|költségvetésből|
True,|Budapestre|,|Budapestre|
True,|évi|,|évi|
True,|10|,|10|
True,|milliárd|,|milliárd|
True,|forintot|,|forintot|
True,|erre|,|erre|
True,|vállalt|,|vállalt|
True,|a|,|a|
True,|kormány|,|kormány|
True,"|,|","|,|"
True,|és|,|és|
True,|meg|,|meg|
True,|is|,|is|
True,|tette|,|tette|
True,"|,|","|,|"
True,|és|,|és|
True,|át|,|át|
True,|is|,|is|
True,|utalta|,|utalta|
True,"|,|","|,|"
True,|akkor|,|akkor|
True,|az|,|az|
True,|első|,|első|
True,|válaszlevél|,|válaszlevél|
True,|nem|,|nem|
True,|az|,|az|
True,|volt|,|volt|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|nagyon|,|nagyon|
True,|jó|,|jó|
True,"|,|","|,|"
True,|akkor|,|akkor|
True,|ebből|,|ebből|
True,|ilyen|,|ilyen|
True,|és|,|és|
True,|olyan|,|olyan|
True,|gépeket|,|gépeket|
True,|veszünk|,|veszünk|
True,"|,|","|,|"
True,|amivel|,|amivel|
True,|a|,|a|
True,|budapestiek|,|budapestiek|
True,|egészségét|,|egészségét|
True,|tudjuk|,|tudjuk|
True,|szolgálni|,|szolgálni|
True,"|,|","|,|"
True,|hanem|,|hanem|
True,|az|,|az|
True,|egyik|,|egyik|
True,|első|,|első|
True,|válasz|,|válasz|
True,|az|,|az|
True,|volt|,|volt|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|ebből|,|ebből|
True,|80|,|80|
True,|milliót|,|milliót|
True,|nem|,|nem|
True,|fordíthatnánk|,|fordíthatnánk|
True,|tanulmányírásra|,|tanulmányírásra|
True,|?|,|?|
True,|Ezt|,|Ezt|
True,|akarták|,|akarták|
True,|önök|,|önök|
True,|először|,|először|
True,|tenni|,|tenni|
True,|az|,|az|
True,|egészségügyi|,|egészségügyi|
True,|forrásokkal|,|forrásokkal|
True,"|,|","|,|"
True,|amelyek|,|amelyek|
True,|megérkeztek|,|megérkeztek|
True,|Budapestre|,|Budapestre|
True,"|,|","|,|"
True,|mert|,|mert|
True,|nem|,|nem|
True,|elég|,|elég|
True,|az|,|az|
True,|az|,|az|
True,|53-54|,|53-54|
True,|tanácsadó|,|tanácsadó|
True,"|,|","|,|"
True,|aki|,|aki|
True,|ott|,|ott|
True,|ül|,|ül|
True,|Karácsony|,|Karácsony|
True,|Gergely|,|Gergely|
True,|körül|,|körül|
True,"|,|","|,|"
True,|hanem|,|hanem|
True,|régi|,|régi|
True,|jó|,|jó|
True,|Hagyó|,|Hagyó|
True,|Miklós-i|,|Miklós-i|
True,|hagyományokat|,|hagyományokat|
True,|elevenítettek|,|elevenítettek|
True,|föl|,|föl|
True,|akkor|,|akkor|
True,"|,|","|,|"
True,|amikor|,|amikor|
True,|az|,|az|
True,|egészségügyi|,|egészségügyi|
True,|forrásokból|,|forrásokból|
True,|az|,|az|
True,|első|,|első|
True,|közel|,|közel|
True,|100|,|100|
True,|milliót|,|milliót|
True,|fordítsuk|,|fordítsuk|
True,|tanulmányokra|,|tanulmányokra|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|tulajdonképpen|,|tulajdonképpen|
True,|gondoljuk|,|gondoljuk|
True,|végig|,|végig|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|mit|,|mit|
True,|is|,|is|
True,|tennénk|,|tennénk|
True,"|,|","|,|"
True,|és|,|és|
True,|mit|,|mit|
True,|szeretnének|,|szeretnének|
True,|tenni|,|tenni|
True,|.|,|.|
True,|(|,|(|
True,|Szabó|,|Szabó|
True,|Szabolcs|,|Szabolcs|
True,|:|,|:|
True,|Igen|,|Igen|
True,"|,|","|,|"
True,|végig|,|végig|
True,|kell|,|kell|
True,|gondolni|,|gondolni|
True,"|,|","|,|"
True,|ezt|,|ezt|
True,|így|,|így|
False,|szokták|,|szokták.|
huspacy,|.|,
True,|)|,|)|
True,|Ön|,|Ön|
True,|valamiért|,|valamiért|
True,|nem|,|nem|
True,|hozta|,|hozta|
True,|szóba|,|szóba|
True,|a|,|a|
True,|Kútvölgyi-tömböt|,|Kútvölgyi-tömböt|
True,"|,|","|,|"
True,|tisztelt|,|tisztelt|
True,|képviselő|,|képviselő|
True,|úr|,|úr|
True,|.|,|.|
True,|Miért|,|Miért|
True,|nem|,|nem|
True,|?|,|?|
True,|Ha|,|Ha|
True,|már|,|már|
True,|egészségügyről|,|egészségügyről|
True,|beszélt|,|beszélt|
True,"|,|","|,|"
True,|ha|,|ha|
True,|már|,|már|
True,|Bel-Budáról|,|Bel-Budáról|
True,|beszélt|,|beszélt|
True,"|,|","|,|"
True,|ott|,|ott|
True,"|,|","|,|"
True,|ahol|,|ahol|
True,|elindult|,|elindult|
True,|a|,|a|
True,|felújítás|,|felújítás|
True,"|,|","|,|"
True,|ahol|,|ahol|
True,|szemmel|,|szemmel|
True,|láthatóan|,|láthatóan|
True,|nagyobb|,|nagyobb|
True,|előrelépés|,|előrelépés|
True,|történt|,|történt|
True,"|,|","|,|"
True,|mint|,|mint|
True,|az|,|az|
True,|elmúlt|,|elmúlt|
True,|évtizedekben|,|évtizedekben|
True,"|,|","|,|"
True,|bármikor|,|bármikor|
True,|az|,|az|
True,|elmúlt|,|elmúlt|
True,|években|,|években|
True,"|,|","|,|"
True,|és|,|és|
True,|az|,|az|
True,|„|,|„|
True,|Egészséges|,|Egészséges|
True,|Budapest|,|Budapest|
True,|”|,|”|
True,|programnak|,|programnak|
True,|köszönhető|,|köszönhető|
True,"|,|","|,|"
True,|akkor|,|akkor|
True,|vajon|,|vajon|
True,|ezt|,|ezt|
True,|miért|,|miért|
True,|nem|,|nem|
True,|hozta|,|hozta|
True,|szóba|,|szóba|
True,|?|,|?|
True,|Természetesen|,|Természetesen|
True,|a|,|a|
True,|Szent|,|Szent|
True,|János|,|János|
True,|Kórházat|,|Kórházat|
True,|is|,|is|
True,"|,|","|,|"
True,|mint|,|mint|
True,|az|,|az|
True,|Észak-budai|,|Észak-budai|
True,|Ellátási|,|Ellátási|
True,|Centrumot|,|Centrumot|
True,|a|,|a|
True,|továbbiakban|,|továbbiakban|
True,|is|,|is|
True,|kívánjuk|,|kívánjuk|
True,|fejleszteni|,|fejleszteni|
True,|.|,|.|
True,|Mindenki|,|Mindenki|
True,|számára|,|számára|
True,|nagyon|,|nagyon|
True,|fontos|,|fontos|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|ott|,|ott|
True,|is|,|is|
True,|minél|,|minél|
True,|magasabb|,|magasabb|
True,|szintű|,|szintű|
True,|legyen|,|legyen|
True,|az|,|az|
True,|ellátás|,|ellátás|
True,"|,|","|,|"
True,|csak|,|csak|
True,|azért|,|azért|
True,|szerintem|,|szerintem|
True,"|,|","|,|"
True,|ha|,|ha|
True,|mégiscsak|,|mégiscsak|
True,|egy|,|egy|
True,|korrekt|,|korrekt|
True,|összképet|,|összképet|
True,|akarnánk|,|akarnánk|
True,|mutatni|,|mutatni|
True,"|,|","|,|"
True,|akkor|,|akkor|
True,|megmutathatnánk|,|megmutathatnánk|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|melyik|,|melyik|
True,|része|,|része|
True,|az|,|az|
True,"|,|","|,|"
True,|ahol|,|ahol|
True,|már|,|már|
True,|látványos|,|látványos|
True,"|,|","|,|"
True,|az|,|az|
True,|elmúlt|,|elmúlt|
True,|évtizedekben|,|évtizedekben|
True,|nem|,|nem|
True,|látott|,|látott|
True,|mértékű|,|mértékű|
True,|fejlődés|,|fejlődés|
True,|indult|,|indult|
True,"|,|","|,|"
True,|és|,|és|
True,|melyik|,|melyik|
True,|az|,|az|
True,"|,|","|,|"
True,|amelyik|,|amelyik|
True,|valóban|,|valóban|
True,|még|,|még|
True,|előttünk|,|előttünk|
True,|áll|,|áll|
True,|.|,|.|
True,|Csak|,|Csak|
True,"|,|","|,|"
True,|tudja|,|tudja|
True,"|,|","|,|"
True,|a|,|a|
True,|baloldal|,|baloldal|
True,|azon|,|azon|
True,|vitatkozott|,|vitatkozott|
True,"|,|","|,|"
True,|nem|,|nem|
True,|is|,|is|
True,|azon|,|azon|
True,|vitatkozott|,|vitatkozott|
True,"|,|","|,|"
True,|azzal|,|azzal|
True,|licitált|,|licitált|
True,|egymásra|,|egymásra|
True,|a|,|a|
True,|kampányban|,|kampányban|
True,"|,|","|,|"
True,|önök|,|önök|
True,|és|,|és|
True,|a|,|a|
True,|szövetségeseik|,|szövetségeseik|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|kórházak|,|kórházak|
True,|45|,|45|
True,|százalékát|,|százalékát|
True,|kell|,|kell|
True,|bezárni|,|bezárni|
True,|vagy|,|vagy|
True,|többet|,|többet|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|vizitdíjat|,|vizitdíjat|
True,|és|,|és|
True,|a|,|a|
True,|kórházi|,|kórházi|
True,|napidíjat|,|napidíjat|
True,|egy|,|egy|
True,|vagy|,|vagy|
True,|két|,|két|
True,|nap|,|nap|
True,|alatt|,|alatt|
True,|kell|,|kell|
True,|bevezetni|,|bevezetni|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|azokat|,|azokat|
True,|csak|,|csak|
True,|készpénzben|,|készpénzben|
True,|vagy|,|vagy|
True,|mobiltelefonnal|,|mobiltelefonnal|
True,|meg|,|meg|
True,|bankkártyával|,|bankkártyával|
True,|is|,|is|
True,|lehessen|,|lehessen|
True,|befizetni|,|befizetni|
True,|.|,|.|
True,|Önöknek|,|Önöknek|
True,|ez|,|ez|
True,|volt|,|volt|
True,|az|,|az|
True,|egészségügyi|,|egészségügyi|
True,|programjuk|,|programjuk|
True,|.|,|.|
True,|Nem|,|Nem|
True,|az|,|az|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|akkor|,|akkor|
True,|most|,|most|
True,|hogyan|,|hogyan|
True,|zajlanak|,|zajlanak|
True,|a|,|a|
True,|felújítások|,|felújítások|
True,"|,|","|,|"
True,|hanem|,|hanem|
True,|hogy|,|hogy|
True,|mennyit|,|mennyit|
True,|kell|,|kell|
True,|az|,|az|
True,|embereknek|,|embereknek|
True,|fizetni|,|fizetni|
True,"|,|","|,|"
True,|és|,|és|
True,|mit|,|mit|
True,|lehet|,|lehet|
True,|ebből|,|ebből|
True,|privatizálni|,|privatizálni|
True,"|,|","|,|"
True,|tisztelt|,|tisztelt|
True,|képviselő|,|képviselő|
True,|úr|,|úr|
True,|.|,|.|
True,|Amúgy|,|Amúgy|
True,|én|,|én|
True,|úgy|,|úgy|
True,|tudom|,|tudom|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|ön|,|ön|
True,|a|,|a|
True,|BKK|,|BKK|
True,|felügyelőbizottsági|,|felügyelőbizottsági|
True,|elnöke|,|elnöke|
True,|nem|,|nem|
True,|feltétlenül|,|feltétlenül|
True,|azért|,|azért|
True,"|,|","|,|"
True,|mert|,|mert|
True,|ilyesfajta|,|ilyesfajta|
True,|felsőfokú|,|felsőfokú|
True,|végzettséggel|,|végzettséggel|
True,|rendelkezett|,|rendelkezett|
True,"|,|","|,|"
True,|a|,|a|
True,|korábbiakban|,|korábbiakban|
True,|ezt|,|ezt|
True,|a|,|a|
True,|titulust|,|titulust|
True,|töltötte|,|töltötte|
True,|be|,|be|
True,|.|,|.|
True,|Vajon|,|Vajon|
True,|amikor|,|amikor|
True,|ön|,|ön|
True,|ott|,|ott|
True,|tevékenykedett|,|tevékenykedett|
True,"|,|","|,|"
True,|mennyiben|,|mennyiben|
True,|segítette|,|segítette|
True,|elő|,|elő|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|valóban|,|valóban|
True,"|,|","|,|"
True,|akár|,|akár|
True,|európai|,|európai|
True,|uniós|,|uniós|
True,|forrásból|,|forrásból|
True,|is|,|is|
True,"|,|","|,|"
True,|a|,|a|
True,|budapesti|,|budapesti|
True,|fontos|,|fontos|
True,|tömegközlekedési|,|tömegközlekedési|
True,|elemek|,|elemek|
True,|megvalósuljanak|,|megvalósuljanak|
True,|?|,|?|
True,|(|,|(|
True,|Az|,|Az|
True,|elnök|,|elnök|
True,|a|,|a|
True,|csengő|,|csengő|
True,|megkocogtatásával|,|megkocogtatásával|
True,|jelzi|,|jelzi|
True,|az|,|az|
True,|időkeret|,|időkeret|
False,|leteltét|,|leteltét.|
huspacy,|.|,
True,|)|,|)|
True,|Mert|,|Mert|
True,|Pokorni|,|Pokorni|
True,|Zoltán|,|Zoltán|
True,|polgármesterként|,|polgármesterként|
True,|ez|,|ez|
True,|ügyben|,|ügyben|
True,|lépett|,|lépett|
True,"|,|","|,|"
True,|Karácsony|,|Karácsony|
True,|Gergely|,|Gergely|
True,|pedig|,|pedig|
True,|csak|,|csak|
True,|hárította|,|hárította|
True,|a|,|a|
True,|felelősséget|,|felelősséget|
True,"|,|","|,|"
True,|hátradőlt|,|hátradőlt|
True,"|,|","|,|"
True,|és|,|és|
True,|azt|,|azt|
True,|mondta|,|mondta|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|ő|,|ő|
True,|nem|,|nem|
True,|tud|,|tud|
True,|tenni|,|tenni|
True,|ez|,|ez|
True,|ügyben|,|ügyben|
True,|semmit|,|semmit|
True,|.|,|.|
True,|Nem|,|Nem|
True,|csodálom|,|csodálom|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|Fürjes|,|Fürjes|
True,|Balázshoz|,|Balázshoz|
True,|fordul|,|fordul|
True,"|,|","|,|"
True,|mert|,|mert|
True,|Karácsony|,|Karácsony|
True,|Gergelyhez|,|Gergelyhez|
True,"|,|","|,|"
True,|úgy|,|úgy|
True,|látszik|,|látszik|
True,"|,|","|,|"
True,|hiába|,|hiába|
True,|fordulna|,|fordulna|
True,|.|,|.|
True,|Köszönöm|,|Köszönöm|
True,|szépen|,|szépen|
True,|.|,|.|
True,|(|,|(|
True,|Taps|,|Taps|
True,|a|,|a|
True,|kormánypárti|,|kormánypárti|
False,|oldalon|,|oldalon.|
huspacy,|.|,
True,|)|,|)|
True,|ELNÖK|,|ELNÖK|
True,|:|,|:|
True,|Szintén|,|Szintén|
True,|napirend|,|napirend|
True,|előtti|,|előtti|
True,|hozzászólásra|,|hozzászólásra|
True,|kért|,|kért|
True,|szót|,|szót|
True,|Lukács|,|Lukács|
True,|László|,|László|
True,|György|,|György|
True,"|,|","|,|"
True,|a|,|a|
True,|Jobbik|,|Jobbik|
True,|képviselője|,|képviselője|
True,|.|,|.|
True,|Megadom|,|Megadom|
True,|a|,|a|
True,|szót|,|szót|
True,|képviselő|,|képviselő|
True,|úrnak|,|úrnak|
True,|.|,|.|
True,|Parancsoljon|,|Parancsoljon|
True,|!|,|!|
True,|DR.|,|DR.|
True,|LUKÁCS|,|LUKÁCS|
True,|LÁSZLÓ|,|LÁSZLÓ|
True,|GYÖRGY|,|GYÖRGY|
True,|(|,|(|
True,|Jobbik|,|Jobbik|
True,|):|,|):|
True,|Köszönöm|,|Köszönöm|
True,|szépen|,|szépen|
True,|a|,|a|
True,|szót|,|szót|
True,|.|,|.|
True,|Tisztelt|,|Tisztelt|
True,|Elnök|,|Elnök|
True,|Úr|,|Úr|
True,|!|,|!|
True,|Tisztelt|,|Tisztelt|
True,|Képviselőtársaim|,|Képviselőtársaim|
True,|!|,|!|
True,|Sokszor|,|Sokszor|
True,|láttuk|,|láttuk|
True,|az|,|az|
True,|elmúlt|,|elmúlt|
True,|időszakban|,|időszakban|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|amit|,|amit|
True,|önök|,|önök|
True,|mondanak|,|mondanak|
True,"|,|","|,|"
True,|és|,|és|
True,|a|,|a|
True,|valóságban|,|valóságban|
True,|ehhez|,|ehhez|
True,|képest|,|képest|
